,months_causal,total_months,causality_strength,stability_score
USDJPY_low_fract,0,49,[],0.0
EURAUD_low_fract,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
ATOM_adjusted_close,0,49,[],0.0
XAGUSD_close,0,49,[],0.0
IVV_adjusted_close,0,49,[],0.0
ATOM_open,0,49,[],0.0
AGG_adjusted_close,0,49,[],0.0
MOVE.INDX_low,0,49,[],0.0
EURUSD_close_fract,1,49,[np.int64(2)],0.0
ETH_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
IWM_low,0,49,[],0.0
NVDA_adjusted_close,0,49,[],0.0
XOM_low,0,49,[],0.0
BNB_adjusted_close,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
DXY.INDX_high,0,49,[],0.0
FIL_adjusted_close,0,49,[],0.0
SSEC.INDX_high,0,49,[],0.0
UNH_high,0,49,[],0.0
V_volume,0,49,[],0.0
VWUSX_close,0,49,[],0.0
EURGBP_low_fract,0,49,[],0.0
HBAR_open,0,49,[],0.0
SLV_open,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
GBPUSD_volume_fract,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
LTC_high,1,49,[np.int64(2)],0.0
ETC_close,0,49,[],0.0
GOOGL_low,1,49,[np.int64(2)],0.0
DIA_close,0,49,[],0.0
CADJPY_close_fract,0,49,[],0.0
XRP_adjusted_close,0,49,[],0.0
INTC_high,0,49,[],0.0
AMZN_close,0,49,[],0.0
NKE_volume,0,49,[],0.0
SKEW.INDX_close,0,49,[],0.0
BTC_open,0,49,[],0.0
GVZ.INDX_high,0,49,[],0.0
ADBE_high,0,49,[],0.0
XPDUSD_adjusted_close,0,49,[],0.0
MCD_adjusted_close,1,49,[np.int64(2)],0.0
CMCSA_open,1,49,[np.int64(2)],0.0
CPER_volume,0,49,[],0.0
DJI.INDX_adjusted_close,0,49,[],0.0
CORN_adjusted_close,0,49,[],0.0
AUDCAD_volume,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
AUDJPY_open,0,49,[],0.0
BNB_open,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3)]",0.8023576471041616
FIL_open,0,49,[],0.0
LINK_adjusted_close,0,49,[],0.0
EURUSD_low,0,49,[],0.0
EFA_adjusted_close,0,49,[],0.0
IBEX.INDX_adjusted_close,4,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
JPM_close,0,49,[],0.0
MA_high,0,49,[],0.0
AGG_open,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
SWPPX_open,0,49,[],0.0
EURCAD_high_fract,0,49,[],0.0
AUDUSD_high_fract,1,49,[np.int64(2)],0.0
CADJPY_low,0,49,[],0.0
SLV_adjusted_close,0,49,[],0.0
MA_close,0,49,[],0.0
FZROX_close,0,49,[],0.0
VSMAX_close,7,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
V_close,0,49,[],0.0
CHFJPY_high,0,49,[],0.0
UNH_volume,0,49,[],0.0
AUDNZD_volume_fract,2,49,"[np.int64(2), np.int64(2)]",1.0
VVIX.INDX_open,0,49,[],0.0
BCH_low,0,49,[],0.0
VIX.INDX_low,2,49,"[np.int64(2), np.int64(2)]",1.0
VIX.INDX_close,2,49,"[np.int64(2), np.int64(2)]",1.0
AUDCAD_low,0,49,[],0.0
EURGBP_high,0,49,[],0.0
VOO_open,0,49,[],0.0
CPER_adjusted_close,0,49,[],0.0
DXY.INDX_close,0,49,[],0.0
COST_adjusted_close,0,49,[],0.0
GBPUSD_volume,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
QNT_open,0,49,[],0.0
AUDJPY_low,0,49,[],0.0
XLK_low,0,49,[],0.0
WMT_open,0,49,[],0.0
OVX.INDX_open,3,49,"[np.int64(2), np.int64(2), np.int64(2)]",1.0
AMZN_low,0,49,[],0.0
NDX.INDX_adjusted_close,0,49,[],0.0
USDCAD_high,0,49,[],0.0
ATOM_low,1,49,[np.int64(2)],0.0
IVV_close,0,49,[],0.0
SWPPX_high,0,49,[],0.0
BAC_low,0,49,[],0.0
ORCL_low,0,49,[],0.0
AUDUSD_volume_fract,1,49,[np.int64(2)],0.0
CSCO_adjusted_close,0,49,[],0.0
VIX.INDX_high,2,49,"[np.int64(2), np.int64(2)]",1.0
CADCHF_open,0,49,[],0.0
ADBE_adjusted_close,0,49,[],0.0
EURAUD_low,0,49,[],0.0
SKEW.INDX_volume,0,49,[],0.0
XRP_high,0,49,[],0.0
USO_high,1,49,[np.int64(2)],0.0
BCH_adjusted_close,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
EURCHF_close,0,49,[],0.0
SWPPX_close,0,49,[],0.0
AUDNZD_volume,2,49,"[np.int64(2), np.int64(2)]",1.0
EURUSD_high,0,49,[],0.0
AUDUSD_high,0,49,[],0.0
MSFT_open,0,49,[],0.0
EURCHF_high_fract,0,49,[],0.0
CSCO_low,0,49,[],0.0
VIGAX_adjusted_close,0,49,[],0.0
EURCAD_high,0,49,[],0.0
USDJPY_high,0,49,[],0.0
VXD.INDX_high,0,49,[],0.0
USDJPY_volume,0,49,[],0.0
TXN_adjusted_close,0,49,[],0.0
EURCAD_volume,0,49,[],0.0
VIGAX_close,0,49,[],0.0
USO_open,1,49,[np.int64(2)],0.0
LINK_close,0,49,[],0.0
AUDNZD_close,0,49,[],0.0
USDJPY_open,0,49,[],0.0
VTI_close,0,49,[],0.0
EFA_volume,0,49,[],0.0
COST_close,0,49,[],0.0
HBAR_adjusted_close,0,49,[],0.0
EURCHF_volume_fract,0,49,[],0.0
SOYB_high,0,49,[],0.0
EURGBP_volume_fract,0,49,[],0.0
CADCHF_high_fract,0,49,[],0.0
XPTUSD_high,0,49,[],0.0
TXN_high,0,49,[],0.0
LTC_open,6,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3)]",0.7979694919554029
OVX.INDX_close,0,49,[],0.0
USDJPY_close,0,49,[],0.0
IBEX.INDX_open,0,49,[],0.0
IBEX.INDX_low,5,49,"[np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",1.0
CADCHF_close,0,49,[],0.0
XLM_close,0,49,[],0.0
DOGE_volume,0,49,[],0.0
GOOGL_close,1,49,[np.int64(2)],0.0
USO_volume,0,49,[],0.0
TSLA_close,0,49,[],0.0
FIL_low,0,49,[],0.0
