feature,weight,current_score,persistence_ratio,stability_score,months_causal,total_months,selected,category
VVIX.INDX_high,1.4101426514045519,3,0.14285714285714285,0.8335643342885325,7,49,True,Long-term Stable
MSFT_volume,1.4101426514045519,3,0.14285714285714285,0.8335643342885325,7,49,True,Long-term Stable
BNB_open,1.4039013139676777,3,0.14285714285714285,0.8023576471041616,7,49,True,Long-term Stable
AUDUSD_low_fract,1.4029062899183384,3,0.12244897959183673,0.8279947717554249,6,49,True,Long-term Stable
MA_volume,1.4026134581182739,3,0.10204081632653061,0.8571428576530612,5,49,True,Long-term Stable
LTC_open,1.396901233958334,3,0.12244897959183673,0.7979694919554029,6,49,True,Long-term Stable
GBPUSD_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
BNB_high,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
MOVE.INDX_adjusted_close,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
AUDCAD_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
EURAUD_high_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
CHFJPY_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
AUDUSD_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
BNB_close,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
EURAUD_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
EFA_open,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
VSMAX_close,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
IBEX.INDX_volume,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
EURCHF_low_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
VSMAX_high,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
VXD.INDX_low,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
AUDCHF_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
CADCHF_close_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
VSMAX_low,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
VXD.INDX_open,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
MOVE.INDX_close,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
BNB_low,1.0434297845468452,2,0.14285714285714285,1.0,7,49,False,Long-term Stable
EURAUD_low_fract,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
BNB_adjusted_close,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
VSMAX_open,1.0434297845468452,2,0.14285714285714285,1.0,7,49,True,Long-term Stable
CHFJPY_open_fract,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
MOVE.INDX_high,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
AUDCAD_volume_fract,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
VSMAX_adjusted_close,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
AUDCHF_open,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
PG_volume,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
BSESN.INDX_adjusted_close,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
LTC_volume,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
AUDCAD_volume,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
BSESN.INDX_close,1.0373073355672533,2,0.12244897959183673,1.0,6,49,False,Long-term Stable
GOOG_high,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
BCH_close,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
GBPUSD_volume,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
GBPUSD_volume_fract,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
LTC_low,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
BCH_adjusted_close,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
IBEX.INDX_low,1.0311848865876616,2,0.10204081632653061,1.0,5,49,False,Long-term Stable
IBEX.INDX_adjusted_close,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
ADBE_open,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
SLV_open,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
IBEX.INDX_close,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
VVIX.INDX_close,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
AUDJPY_close_fract,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
BAC_adjusted_close,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
VVIX.INDX_adjusted_close,1.0250624376080697,2,0.08163265306122448,1.0,4,49,False,Long-term Stable
GOOGL_high,1.0189399886284778,2,0.061224489795918366,1.0,3,49,False,Long-term Stable
CHFJPY_open,1.0189399886284778,2,0.061224489795918366,1.0,3,49,False,Long-term Stable
BCH_high,1.0189399886284778,2,0.061224489795918366,1.0,3,49,False,Long-term Stable
GVZ.INDX_open,1.0189399886284778,2,0.061224489795918366,1.0,3,49,False,Long-term Stable
AUDJPY_low_fract,1.0189399886284778,2,0.061224489795918366,1.0,3,49,False,Long-term Stable
BNB_volume,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
AUDNZD_high_fract,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
GOOGL_adjusted_close,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
SOYB_low,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
GOOG_low,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
BAC_close,1.012817539648886,2,0.04081632653061224,1.0,2,49,True,Temporary
